信件标题,信件编号,办理单位,状态,类型,链接
举报工商局不作为,G20181002-0009,高新区市场监督管理局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901663282cbce06f2
举报国资委包庇大连再生资源交易所欺骗投资人,G20181002-0007,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016632813f3306f1
请美林园社区公开关于美林园小区业主委员会的如下内容,G20181001-0007,甘井子区辛寨子街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662f1cc6e50573
破旧小区瑞丰园是否能够动迁,G20181001-0006,瑞丰园社区,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662f02fe3c056e
关于请求对温泉花园小区三期电梯超保相关单位不查处、不按时回复、虚假回复进行督办的投诉举报,G20180930-0031,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662acf038f0430
关于请求对温泉花园小区三期电梯超保相关单位不查处进行督办的投诉举报,G20180930-0028,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662a46b25e0402
大连金玛集团天储理财到期不兑现,G20180930-0023,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166296e37cb03ba
违规侵占公共绿地,G20180930-0020,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166291401fa039a
举报大连再生资源交易所,G20180930-0003,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016627e8bff00318
老旧小区公共环境/绿地管理,G20180929-0036,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662572cab90233
大连贵友供热站和名贵物业推卸责任,G20180929-0032,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016624c7155a01f7
社会体育指导员,G20180929-0033,体育局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016624c4fed101f3
请兴工街道按沙政行复不受字［2018］第03号决定书决定，对12345平台受理编号G20180816-0037问题予以重新回复,G20180929-0031,沙河口区兴工街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166248c420e01e3
母亲被黑心老板拖欠工资26500元，直到母亲劳累过度子宫脱垂被辞退还未全额支付工资,G20180929-0029,瓦房店市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166247f390001dc
请全统西山丽水小区所属物业公司公示自2009年-2017年的小区各项费用的收入和支出明细,G20180929-0022,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662416b78201a4
这个人售卖假货，销售的手机是假货！,G20180929-0021,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016624155e3601a2
城市绿线问题,G20180929-0020,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e5901662411873f019f
请开发商开通全统西山丽水小区燃气外管网,G20180929-0019,城乡建设委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016623e631430183
请开发商或物业公司公开全统西山丽水小区选聘前期物业公司的招投标信息、合同，收费许可备案及收费标准备案,G20180929-0018,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016623cfa3770177
兴发门窗本人已投诉两次,G20180929-0016,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016623b91587016c
兴发门窗本人已投诉两次,G20180929-0015,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016623b451e60168
我要撤销我的咨询,G20180929-0014,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016623a5d5810165
华润24城金二学和76中分校哪年建成招生？,G20180929-0005,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166230fecb3011f
"城子坦镇民心网负责人,工作不称职。",G20180929-0002,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016622e1c7700108
居民楼下20米处通宵施工已三个月严重扰民,G20180928-0037,城乡建设委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e59016620a0554c003c
居民楼下20米处通宵施工已三个月噪音扰民严重,G20180928-0036,城乡建设委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166209a3adf003a
咨询下关于农村集体经济组织成员身份认定办法,G20180928-0033,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808166200e590166206d087b002a
请问准生证办理流程需几个工作日？,G20180906-0055,基层指导处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d9d7f00165ae64d6140035
高校毕业生住房补助,G20180827-0036,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d9d7f001657a2b165a0027
网上办事大厅,G20180815-0018,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d9d7f001653b90cc700016
棒槌岛景区售票人员态度恶劣,G20180810-0014,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d9d7f0016522917c750013
户口迁移,G20180806-0022,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d9d7f001650e1895ae000b
公车私用,G20180928-0027,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661f9b61690fde
天兴花园物业舞弊老百姓，请政府做主,G20180928-0019,沙河口区中山公园街道办事处,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661ee035da0f83
申请公开乾丰海景花园小区房屋竣工备案情况,G20180928-0017,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661ebdd35c0f75
请求行政执法局给予答复,G20180928-0009,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661e4c1df60f4b
请甘井子区物业科解答,G20180928-0008,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661e48cb3d0f47
大连市新建商品住宅项目退绿线问题,G20180928-0004,规划局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661e1d36b80f2c
户籍,G20180927-0040,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661ae560f60e01
棚顶乱搭建！安全隐患严重！坚决不同意！,G20180927-0031,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016619d907d20d9d
营业执照经营期限即将到期，如何办理延期手续？,G20180927-0030,甘井子区市场监督管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016619c7c9b80d94
国安宜居小区易明物业违规出租物业管理用房,G20180927-0024,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166196189340d5b
甘井子区红旗街道润秀社区社区用房超标,G20180927-0020,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661954505d0d51
沙河口区华都文郡小区今年供热问题,G20180927-0018,供热办,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166193a2d570d3b
东港星光域二期小区开发商物业地下车位私自更改,G20180927-0006,规划局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166189ad1f10ce5
吕艺铭出卖肉体勾引已婚男士骗取钱财,G20180927-0003,大连市公共行政服务中心,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166188d80090cdd
机动车道无法行驶全是大坑,G20180927-0001,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166186c5eb30cd0
恶意侵犯个人合法权益，并受到威胁,G20180926-0049,甘井子区人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661652bd1a0bb2
关于瓦房店市撤市设区进程中更名的建议,G20180926-0042,瓦房店市人民政府,已办结,建议,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016615be9ea30b70
龙畔金泉K3，取暖报停电话一直打不通,G20180926-0038,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016614cba8f00b1b
邮政储蓄密码被锁,G20180926-0036,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016614b829800b10
请全统西山丽水小区所属物业公司公示自2009年-2017年的物业费、广告费、停车费、经营性用房租金的收入和支出明细及提取房屋维修基金的资料及提取金额和支出明细,G20180926-0030,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166147b5a2b0ae8
不动产证上的竣工日期,G20180926-0027,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166146747080ad8
不动产证上的竣工日期,G20180926-0026,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661463f24c0ad7
对G20180918-0009投诉城乡建设委员会给出的回复，强烈不满,G20180926-0019,城乡建设委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016613d027ed0a8e
姚家地铁站没有步行道路,G20180926-0018,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016613cd50100a8c
小区的地上车位哪去了？,G20180926-0015,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016613ab837e0a77
廉租房申请时间,G20180926-0005,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166133fbf8e0a2f
18年下半年廉租房,G20180926-0004,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501661333c37a0a29
大连市甘井子区红旗街道润秀社区社区用房超标,G20180925-0035,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016611174e650958
大连市国安宜居小区易明物业违规出租物业管理用房,G20180925-0034,甘井子区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016610d1f8770944
大连金普新区商品现货合约交易中心有限公司平台有欺诈百姓大连金普新区的,G20180925-0030,金普新区财政金融局,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166107dc19e0926
大连悦动体育发展有限公司-违规招生授课,G20180925-0028,长兴管理所,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660fd7893208f2
大连悦动体育发展有限公司-超范围经营,G20180925-0027,长兴管理所,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660fccf9b808ed
关于公租房申办的具体时间,G20180925-0022,国土资源和房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660f9bcd1008d5
毕业生租房补贴,G20180925-0015,住房保障中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660f36ac9308a5
瑞龙武道跆拳道馆霸权条款不予退课,G20180925-0010,中共大连市委大连市人民政府信访局,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660ea9f15f0867
大连塑研塑料科技开发有限公司未取得施工许可证擅自施工两个月之久，相关部门制止后仍然施工，请按照《建设工程质量管理条例》处罚！,G20180925-0003,旅顺口区人民政府,已办结,举报,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce9501660e3df2b0082a
医保关系转到异地后吃格列卫报销问题,G20180923-0011,瓦房店市人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166066ab9960621
户户通修路,G20180923-0006,瓦房店市人民政府,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166047249f205a2
户户通修路,G20180923-0005,瓦房店市,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166046f234f05a1
关于美林园小区业主委员会,G20180923-0001,甘井子区辛寨子街道,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce95016603d9e5e30579
黄红波一家冤,G20180922-0013,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950166013d5b7e04a0
暖房工程施工人员   恶意报复住户,G20180922-0004,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165ff2c09c70414
大连市甘井子区泡崖子小区住宅楼一楼改商用开门头搭建超范围门头,G20180921-0032,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165fb58531d02e0
高新园区房产交易管理网是多少,G20180921-0024,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165faaf02a80285
事业单位,G20180921-0017,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165fa1818e10248
电动车,G20180921-0014,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f9e4b75f0234
暖房工程！ 惠民？毁民？,G20180921-0010,甘井子区人民政府,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f9b4c5420222
公路监测点灯光过于强烈，存在引发交通事故隐患——不应以侵害公众权益来实施行政措施,G20180921-0009,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f99a6dd10212
高中、一中、职高广播音量要控制，以校内师生能够听清为宜,G20180921-0005,长海县人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f987d4910208
投诉大连开发区阳光富豪游泳健身中心欺诈客户,G20180920-0044,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f64298b400d8
投诉中介阴阳合同,G20180920-0037,大连市公共行政服务中心,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f610652000ba
房屋买卖,G20180920-0036,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f608498600b5
医师资格证书丢失该如何补办,G20180920-0026,卫生和计划生育委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f5936c4d006f
关于金普新区友谊街道不作为的投诉,G20180920-0023,金普新区管理委员会,已办结,投诉,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f511c29a002f
大政发[2005]76号是否废止,G20180920-0020,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f4fe5e460022
金普新区人才认定购房补贴何时发放,G20180920-0019,金普新区管理委员会,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f4f38d3c0017
大连甘井子区大连湾街道福佳新城有地铁站吗？,G20180920-0016,大连地铁集团有限公司,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f4c9f2230008
甘井子区大连湾街道福佳新城堵车严重，出行不便,G20180920-0015,甘井子区人民政府,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f4c3a5250005
关于悦丽海湾物业违规变更物业管理用房使用性质举报,G20180920-0010,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f4ab260c7ff1
三无产品投诉,G20180920-0009,甘井子区市场监督管理局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f48b96187fd7
做一个外卖厨房需要如何办理相关手续,G20180920-0003,大连市公共行政服务中心,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f44f24897fb4
蓝牌货车,G20180920-0001,大连市道路运输管理处,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f3608e077ee7
不动产证上的竣工日期,G20180919-0058,高新区国土房屋局,已办结,咨询,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f205d9787e98
兽医的求助,G20180919-0056,大连市公共行政服务中心,已办结,求助,http://xzfw.dl.gov.cn/fgw/gzjl/detail.jspx?gdId=ff80808164d5ce950165f1f0b9e27e8e
